review_text,label
"SCAM!! SCAM!! SCAM!! SCAM!! THIS RESTAURANT IS TERRIBLE, DISGUSTING FOOD AND AWFUL SERVICE!!!!!!!!! AVOID AT ALL COSTS!!! GO TO THE PLACE ACROSS THE STREET, THEY ARE MUCH BETTER!!! ABSOLUTE GARBAGE!!!!!!!!!",1
"The room was spacious and clean, with a pleasant view of the city. The bed was comfortable. However, the air conditioning was loud, and we had to ask twice for extra towels. The staff was polite but seemed understaffed. Will update this review if anything changes.",0
BUY NOW!! BUY NOW!! BUY NOW!! WOW! AMAZING PRODUCT! BEST VACUUM CLEANER EVER!!! BUY THIS NOW!!! MUST BUY!!! AWESOME SUCTION! BUY THIS NOW!!!,1
"The running shoes are lightweight and comfortable. I've run about 50 miles in them so far, and the sole is holding up well. However, they lack arch support, so I had to add custom insoles. Fits slightly narrow.",0
"This is the best coffee maker ever!!!!!!!!! Love it so much!!! Super easy to use, coffee is amazing!!! Best product ever, highly recommend to everyone!!!!!!!!! INCREDIBLE AWFUL",1
"BEST EVER!! BEST EVER!! THIS HOTEL IS THE WORST HOTEL IN THE WORLD!!! DO NOT STAY HERE! TERRIBLE SERVICE, DIRTY ROOMS, COMPLETELY RUINED MY VACATION. BEWARE! TOTAL SCAM!",1
"Decent food, but nothing extraordinary. The pasta was fresh, though the sauce needed more seasoning. Service was a bit slow, but the atmosphere was cozy. I might return if I'm in the neighborhood. Hope this review helps.",0
BUY NOW!! BUY NOW!! BUY NOW!! BUY NOW!! Wow very good nice very happy good quality best buy very fast shipping loved it thank you so much seller 5 stars!!! PLEASE BUY PERFECT QUALITY,1
"This non-stick pan has been my daily driver for breakfast. Eggs slide right off. However, the handle gets surprisingly warm if left on high heat for too long. Make sure to hand wash it to keep the coating intact.",0
"BUY NOW!! BUY NOW!! BUY NOW!! BUY NOW!! This is the best coffee maker ever!!!!!!!!! Love it so much!!! Super easy to use, coffee is amazing!!! Best product ever, highly recommend to everyone!!!!!!!!!",1
"This non-stick pan has been my daily driver for breakfast. Eggs slide right off. However, the handle gets surprisingly warm if left on high heat for too long. Make sure to hand wash it to keep the coating intact.",0
BEST EVER!! BEST EVER!! BEST EVER!! BEST EVER!! AMAZING!!! AMAZING!!! AMAZING!!! LOVE IT SO MUCH!!! BEST PURCHASE OF THE YEAR!!!!!!!!! HIGHLY RECOMMEND!!! BUY THIS NOW!!!!!!!!!,1
"THIS RESTAURANT IS TERRIBLE, DISGUSTING FOOD AND AWFUL SERVICE. AVOID AT ALL COSTS! GO TO THE PLACE ACROSS THE STREET, THEY ARE MUCH BETTER! ABSOLUTE GARBAGE. VERY GOOD AWFUL",1
This jacket is warm and fits true to size. The zippers feel strong and the material is water-resistant. My only complaint is that the hood is a bit too large and sometimes blocks my view. Good for autumn weather.,0
